Gene,Max Cell Type
ABCA8,Human Oligodendrocytes
ABCA9,
ABCB1,Human Endothelial
ABCB10,Human Neurons
ABCB11,
ABCB4,Human Microglia/Macrophage
ABCB5,Human Neurons
ABCB6,
ABCB7,
ABCB8,Human Neurons
ABCB9,Human mature astrocytes
ABCC1,Human Neurons
ABCC10,
ABCC11,Human mature astrocytes
ABCC12,
ABCC13,Human Microglia/Macrophage
ABCC2,Human Microglia/Macrophage
ABCC3,
ABCC4,Human Microglia/Macrophage
ABCC5,Human Neurons
ABCC6,
ABCC6P1,Human Endothelial
ABCC6P2,Human mature astrocytes
ABCC8,Human mature astrocytes
ABCC9,Human mature astrocytes
ABCD1,
ABCD2,Human mature astrocytes
ABCD3,
ABCD4,Human mature astrocytes
ABCE1,
ABCF1,
ABCF1,
ABCF1,
ABCF1,
ABCF1,
ABCF1,
ABCF1,
ABCF2,
ABCF3,
ABCG1,Human Oligodendrocytes
ABCG2,Human Endothelial
ABCG4,Human Neurons
ABCG5,Human Neurons
ABCG8,
ABHD1,
ABHD10,Human Neurons
ABHD11,
ABHD11-AS1,
ABHD12,
ABHD12B,Human Oligodendrocytes
ABHD13,
ABHD14A,Human mature astrocytes
ABHD14A-ACY1,
ABHD14B,Human Endothelial
ABHD15,Human Microglia/Macrophage
ABHD16A,
ABHD16A,
ABHD16A,
ABHD16A,
ABHD16A,
ABHD16A,
ABHD16A,
ABHD16B,
ABHD2,
ABHD3,
ABHD4,Human mature astrocytes
ABHD5,Human mature astrocytes
ABHD6,Human Oligodendrocytes
ABHD8,
ABI1,
ABI2,
ABI3,Human Microglia/Macrophage
ABI3BP,Human Neurons
ABL1,
ABL2,Human Microglia/Macrophage
ABLIM1,Human mature astrocytes
ABLIM2,Human Neurons
ABLIM3,Human Endothelial
ABO,
ABP1,
ABR,Human mature astrocytes
ABRA,
ABT1,
ABTB1,Human Endothelial
ABTB2,
ACAA1,Human mature astrocytes
ACAA2,Human mature astrocytes
ACACA,
ACACB,Human mature astrocytes
ACAD10,Human mature astrocytes
ACAD11,
ACAD8,
ACAD9,Human Neurons
ACADL,Human Neurons
ACADM,
ACADS,
ACADSB,
ACADVL,Human mature astrocytes
ACAN,
ACAP1,
ACAP2,
ACAP3,
ACAT1,
ACAT2,Human Neurons
ACBD3,
ACBD4,Human mature astrocytes
ACBD5,
ACBD6,Human Neurons
ACBD7,Human mature astrocytes
ACCN1,Human Neurons
ACCN2,
ACCN3,Human Neurons
ACCN4,
ACCN5,Human Neurons
ACCS,
ACCSL,
ACD,Human Endothelial
ACE2,
ACER1,
ACER2,Human Endothelial
ACER3,
ACHE,Human Neurons
ACIN1,
ACLY,
ACMSD,
ACN9,
ACO1,Human mature astrocytes
ACO2,Human mature astrocytes
ACOT1,
ACOT11,Human mature astrocytes
ACOT12,
ACOT13,Human mature astrocytes
ACOT2,
ACOT4,
ACOT6,Human mature astrocytes
ACOT7,Human Neurons
ACOT8,Human Endothelial
ACOT9,Human Microglia/Macrophage
ACOX1,Human mature astrocytes
ACOX2,Human mature astrocytes
ACOX3,Human mature astrocytes
ACOXL,
ACP1,Human Neurons
ACP2,Human Neurons
ACP5,
ACP6,Human mature astrocytes
ACPL2,Human Neurons
ACPP,Human Microglia/Macrophage
ACPT,
ACR,Human Endothelial
ACRBP,Human Microglia/Macrophage
ACRC,
ACRV1,Human Neurons
ACSBG1,Human mature astrocytes
ACSBG2,
ACSF2,Human mature astrocytes
ACSF3,
ACSL1,Human Microglia/Macrophage
ACSL3,
ACSL4,
ACSL5,Human Endothelial
ACSL6,Human mature astrocytes
ACSM1,
ACSM2A,
ACSM2B,
ACSM3,
ACSM4,
ACSM5,Human Microglia/Macrophage
ACSS1,Human mature astrocytes
ACSS2,Human Oligodendrocytes
ACSS3,Human mature astrocytes
ACTA1,Human Neurons
ACTA2,Human Endothelial
ACTB,Human Microglia/Macrophage
ACTBL2,Human Neurons
ACTC1,Human Neurons
ACTG1,
ACTG2,Human Endothelial
ACTL10,
ACTL6A,
ACTL6B,Human Endothelial
ACTL7A,
ACTL7B,
ACTL8,
ACTL9,
ACTN1,
ACTN2,
ACTN3,
ACTN4,Human Endothelial
ACTR10,Human Neurons
ACTR1A,
ACTR1B,Human Endothelial
ACTR2,Human Microglia/Macrophage
ACTR3,Human Microglia/Macrophage
ACTR3B,Human Neurons
ACTR3BP2,
ACTR3BP5,
ACTR3C,Human Neurons
ACTR5,Human Neurons
ACTR6,
ACTR8,
ACTRT1,
ACTRT2,
ACVR1,Human Endothelial
ACVR1B,Human Neurons
ACVR1C,
ACVR2A,Human Neurons
ACVR2B,
ACVRL1,Human Endothelial
ACY1,Human mature astrocytes
ACY3,Human Microglia/Macrophage
ACYP1,Human Neurons
ACYP2,
ADA,
ADAD1,
ADAD2,
ADAL,Human mature astrocytes
ADAM1,Human Neurons
ADAM10,
ADAM11,
ADAM12,
ADAM15,Human Endothelial
ADAM17,Human Microglia/Macrophage
ADAM18,
ADAM19,Human Oligodendrocytes
ADAM2,
ADAM20,Human mature astrocytes
ADAM21,Human Neurons
ADAM21P1,
ADAM22,Human Neurons
ADAM23,Human Neurons
ADAM28,Human Microglia/Macrophage
ADAM29,
ADAM30,
ADAM32,
ADAM33,
ADAM3A,
ADAM5P,
ADAM6,
ADAM7,
ADAM8,
ADAM9,Human Microglia/Macrophage
ADAMDEC1,
ADAMTS1,Human Oligodendrocytes
ADAMTS10,
ADAMTS12,
ADAMTS13,
ADAMTS14,
ADAMTS15,
ADAMTS16,
ADAMTS17,Human mature astrocytes
ADAMTS18,Human Oligodendrocytes
ADAMTS19,Human Neurons
ADAMTS2,
ADAMTS20,
ADAMTS3,Human Neurons
ADAMTS4,
ADAMTS5,Human Neurons
ADAMTS6,Human Neurons
ADAMTS7,
ADAMTS8,Human Endothelial
ADAMTS9,Human Neurons
ADAMTS9-AS2,
ADAMTSL1,Human Neurons
ADAMTSL2,
ADAMTSL3,Human Neurons
ADAMTSL4,Human Microglia/Macrophage
ADAMTSL5,Human mature astrocytes
ADAP1,
ADAP2,Human Microglia/Macrophage
ADAR,Human Neurons
ADARB1,Human Neurons
ADARB2,Human Neurons
ADARB2-AS1,Human Oligodendrocytes
ADAT1,
ADAT2,
ADAT3,
ADC,
ADCK1,Human Neurons
ADCK2,
ADCK3,
ADCK4,Human mature astrocytes
ADCK5,
ADCY1,Human Neurons
ADCY10,
ADCY2,
ADCY3,
ADCY4,Human Endothelial
ADCY5,
ADCY6,
ADCY7,Human Microglia/Macrophage
ADCY8,Human mature astrocytes
ADCY9,Human mature astrocytes
ADCYAP1,Human Neurons
ADCYAP1R1,Human mature astrocytes
ADD1,Human mature astrocytes
ADD2,Human Neurons
ADD3,Human mature astrocytes
ADGB,
ADH1A,
ADH1B,Human Endothelial
ADH1C,
ADH4,Human mature astrocytes
ADH5,Human mature astrocytes
ADH6,
ADH7,
ADHFE1,Human mature astrocytes
ADI1,Human mature astrocytes
ADIG,
ADIPOQ,
ADIPOR1,
ADIPOR2,Human Oligodendrocytes
ADK,
ADM,Human Endothelial
ADM2,
ADNP,
ADNP2,Human Microglia/Macrophage
ADO,Human Microglia/Macrophage
ADORA1,Human mature astrocytes
ADORA2A,Human Endothelial
ADORA2B,Human mature astrocytes
ADORA3,Human Microglia/Macrophage
ADPGK,Human Microglia/Macrophage
ADPRH,Human Microglia/Macrophage
ADPRHL1,
ADPRHL2,
ADRA1A,Human Neurons
ADRA1B,Human Neurons
ADRA1D,Human Neurons
ADRA2A,Human Neurons
ADRA2B,
ADRA2C,Human Endothelial
ADRB1,
ADRB2,Human Microglia/Macrophage
ADRB3,Human Neurons
ADRBK1,Human Microglia/Macrophage
ADRBK2,Human Neurons
ADRM1,
ADSL,
ADSS,
ADSSL1,
ADTRP,Human Neurons
AEBP1,Human mature astrocytes
AEBP2,
AEN,Human Microglia/Macrophage
AES,
AFAP1,Human Neurons
AFAP1-AS1,Human Neurons
AFAP1L1,Human Endothelial
AFAP1L2,
AFF1,
AFF2,Human Neurons
AFF3,Human Neurons
AFF4,Human Microglia/Macrophage
AFG3L1P,
AFG3L2,
AFM,
AFMID,Human Oligodendrocytes
AFP,
AFTPH,Human Microglia/Macrophage
AGA,
AGAP1,Human Oligodendrocytes
AGAP11,Human Endothelial
AGAP2,
AGAP3,Human Microglia/Macrophage
AGAP4,
AGAP5,
AGAP6,
AGAP7,Human mature astrocytes
AGAP8,
AGAP9,
AGAP9,
AGBL1,
AGBL2,Human mature astrocytes
AGBL3,
AGBL4,Human Neurons
AGBL5,
AGER,
AGER,
AGER,
AGER,
AGER,
AGER,
AGER,
AGFG1,
AGFG2,Human mature astrocytes
AGGF1,
AGK,Human Neurons
AGL,Human mature astrocytes
AGMAT,Human Microglia/Macrophage
AGMO,Human Oligodendrocytes
AGPAT1,Human Neurons
AGPAT1,
AGPAT1,
AGPAT1,
AGPAT1,
AGPAT1,
AGPAT1,
AGPAT2,
AGPAT3,Human mature astrocytes
AGPAT4,
AGPAT4-IT1,Human Oligodendrocytes
AGPAT5,
AGPAT6,
AGPAT9,Human Microglia/Macrophage
AGPHD1,Human mature astrocytes
AGPS,
AGR2,
AGR3,
AGRN,Human Endothelial
AGRP,
AGSK1,
AGSK1,
AGSK1,
AGT,Human mature astrocytes
AGTPBP1,Human Oligodendrocytes
AGTR1,
AGTR2,
AGTRAP,
AGXT,
AGXT2,
AGXT2L1,Human mature astrocytes
AGXT2L2,Human Endothelial
AHCTF1,
AHCY,
AHCYL1,Human mature astrocytes
AHCYL2,Human mature astrocytes
AHDC1,
AHI1,Human Neurons
AHNAK,
AHNAK2,Human Neurons
AHR,
AHRR,Human Microglia/Macrophage
AHSA1,
AHSA2,
AHSG,Human Neurons
AHSP,
AICDA,
AIDA,
AIF1,Human Microglia/Macrophage
AIF1,Human Microglia/Macrophage
AIF1,Human Microglia/Macrophage
AIF1,Human Microglia/Macrophage
AIF1,Human Microglia/Macrophage
AIF1,Human Microglia/Macrophage
AIF1L,Human Oligodendrocytes
AIFM1,
AIFM2,
AIFM3,Human mature astrocytes
AIG1,
AIM1,Human Endothelial
AIM1L,
AIM2,
AIMP1,
AIMP2,Human mature astrocytes
AIP,Human Endothelial
AIPL1,
AIRE,
AJAP1,Human Neurons
AJUBA,Human Endothelial
AK1,Human mature astrocytes
AK2,
AK3,Human mature astrocytes
AK4,Human mature astrocytes
AK5,Human Neurons
AK7,Human Oligodendrocytes
AK8,Human mature astrocytes
AKAP1,
AKAP10,
AKAP11,Human Neurons
AKAP12,
AKAP13,Human Microglia/Macrophage
AKAP14,Human Neurons
AKAP17A,Human Microglia/Macrophage
AKAP17A,Human Microglia/Macrophage
AKAP2,
AKAP3,
AKAP4,
AKAP5,Human Neurons
AKAP6,Human Neurons
AKAP7,Human Neurons
AKAP8,
AKAP8L,
AKAP9,Human Neurons
AKD1,
AKIP1,
AKIRIN1,
AKIRIN2,
AKIRIN2-AS1,Human mature astrocytes
AKNA,Human Microglia/Macrophage
AKNAD1,Human Oligodendrocytes
AKR1A1,Human Microglia/Macrophage
AKR1B1,Human Microglia/Macrophage
AKR1B10,
AKR1B15,
AKR1C1,Human Neurons
AKR1C2,Human Neurons
AKR1C3,Human mature astrocytes
AKR1C4,
AKR1CL1,
AKR1D1,
AKR1E2,Human Endothelial
AKR7A2,Human mature astrocytes
AKR7A2P1,
AKR7A3,Human mature astrocytes
AKR7L,
AKT1,Human Endothelial
AKT1S1,
AKT2,Human mature astrocytes
AKT3,
AKTIP,
ALAD,Human Oligodendrocytes
ALAS1,
ALAS2,
ALB,
ALCAM,
ALDH16A1,Human Microglia/Macrophage
ALDH18A1,
ALDH1A1,Human mature astrocytes
ALDH1A2,Human Neurons
ALDH1A3,Human Oligodendrocytes
ALDH1B1,
ALDH1L1,Human mature astrocytes
ALDH1L2,Human Neurons
ALDH2,Human mature astrocytes
ALDH3A1,
ALDH3A2,
ALDH3B1,Human Microglia/Macrophage
ALDH3B2,
ALDH4A1,Human mature astrocytes
ALDH5A1,
ALDH6A1,Human mature astrocytes
ALDH7A1,Human mature astrocytes
ALDH8A1,Human Neurons
ALDH9A1,Human mature astrocytes
ALDOA,Human mature astrocytes
ALDOB,Human Neurons
ALDOC,Human mature astrocytes
ALG1,
ALG10,
ALG10B,Human mature astrocytes
ALG11,
ALG12,Human mature astrocytes
ALG13,Human Microglia/Macrophage
ALG14,
ALG1L,
ALG1L2,
ALG2,
ALG3,Human mature astrocytes
ALG5,
ALG6,
ALG8,
ALG9,Human Neurons
ALK,Human Neurons
ALKBH1,
ALKBH2,Human mature astrocytes
ALKBH3,
ALKBH4,
ALKBH5,
ALKBH6,
ALKBH7,
ALKBH8,Human Neurons
ALLC,
ALMS1,
ALMS1P,
ALOX12,Human Neurons
ALOX12B,
ALOX12P2,Human mature astrocytes
ALOX15,
ALOX15B,Human Microglia/Macrophage
ALOX15P1,
ALOX5,Human Microglia/Macrophage
ALOX5AP,Human Microglia/Macrophage
ALOXE3,
ALPI,
ALPK1,Human Microglia/Macrophage
ALPK2,Human Microglia/Macrophage
ALPK3,Human Microglia/Macrophage
ALPL,Human Endothelial
ALPP,
ALPPL2,
ALS2,Human Neurons
ALS2CL,Human Endothelial
ALS2CR11,
ALS2CR12,
ALS2CR8,
ALX1,
ALX3,
ALX4,
ALYREF,Human Endothelial
AMACR,Human Neurons
AMBN,
AMBP,
AMBRA1,
AMD1,
AMDHD1,
AMDHD2,
AMELX,
AMELY,
AMFR,Human mature astrocytes
AMH,
AMHR2,
AMICA1,Human Microglia/Macrophage
AMIGO1,Human Neurons
AMIGO2,Human Neurons
AMIGO3,
AMMECR1,Human Neurons
AMMECR1L,
AMN,
AMN1,Human Neurons
AMOT,Human mature astrocytes
AMOTL1,Human Neurons
AMOTL2,
AMPD1,
AMPD2,Human Microglia/Macrophage
AMPD3,Human Microglia/Macrophage
AMPH,Human Neurons
AMT,Human mature astrocytes
AMTN,
AMY1A,
AMY1A,Human Microglia/Macrophage
AMY1A,
AMY1B,
AMY1B,
AMY1B,
AMY1C,
AMY1C,
AMY1C,
AMY2A,Human mature astrocytes
AMY2B,
AMZ1,
AMZ2,Human mature astrocytes
AMZ2P1,
ANAPC1,
ANAPC10,
ANAPC11,
ANAPC13,Human Neurons
ANAPC16,
ANAPC2,
ANAPC4,Human Neurons
ANAPC5,
ANAPC7,Human Neurons
ANG,Human Microglia/Macrophage
ANGEL1,
ANGEL2,
ANGPT1,
ANGPT2,Human Endothelial
ANGPT4,
ANGPTL1,Human mature astrocytes
ANGPTL2,Human Oligodendrocytes
ANGPTL4,Human mature astrocytes
ANGPTL5,
ANGPTL6,Human Microglia/Macrophage
ANGPTL7,
ANK1,Human Neurons
ANK2,
ANK3,
ANKAR,
ANKDD1A,Human mature astrocytes
ANKFN1,Human mature astrocytes
ANKFY1,Human mature astrocytes
ANKH,Human Neurons
ANKHD1,
ANKHD1-EIF4EBP3,
ANKIB1,Human Oligodendrocytes
ANKK1,
ANKLE1,
ANKLE2,Human Microglia/Macrophage
ANKMY1,
ANKMY2,Human Neurons
ANKRA2,Human Neurons
ANKRD1,
ANKRD10,Human Microglia/Macrophage
ANKRD11,
ANKRD12,
ANKRD13A,
ANKRD13B,Human Neurons
ANKRD13C,Human Neurons
ANKRD13D,Human Endothelial
ANKRD16,
ANKRD17,
ANKRD18A,
ANKRD18B,Human Neurons
ANKRD18DP,
ANKRD19P,Human Neurons
ANKRD2,
ANKRD20A1,Human Neurons
ANKRD20A11P,
ANKRD20A2,Human Neurons
ANKRD20A2,Human Neurons
ANKRD20A3,
ANKRD20A3,
ANKRD20A3,
ANKRD20A4,Human Neurons
ANKRD20A5P,Human Neurons
ANKRD20A8P,Human Neurons
ANKRD20A9P,
ANKRD22,Human Microglia/Macrophage
ANKRD23,
ANKRD24,Human mature astrocytes
ANKRD26,Human Neurons
ANKRD26P1,
ANKRD26P3,
ANKRD27,Human mature astrocytes
ANKRD28,
ANKRD29,
ANKRD30A,
ANKRD30B,Human Neurons
ANKRD30BL,Human Neurons
ANKRD30BP2,
ANKRD31,
ANKRD32,Human Neurons
ANKRD33,
ANKRD33B,
ANKRD34A,Human Neurons
ANKRD34B,Human Neurons
ANKRD34C,Human Neurons
ANKRD35,Human mature astrocytes
ANKRD36,
ANKRD36B,Human Neurons
ANKRD36BP1,Human Microglia/Macrophage
ANKRD36BP2,
ANKRD37,Human Endothelial
ANKRD39,
ANKRD40,Human Oligodendrocytes
ANKRD42,Human Neurons
ANKRD44,Human Microglia/Macrophage
ANKRD45,Human mature astrocytes
ANKRD46,Human Neurons
ANKRD49,
ANKRD5,
ANKRD50,Human Neurons
ANKRD52,Human mature astrocytes
ANKRD53,
ANKRD54,
ANKRD55,Human Neurons
ANKRD6,Human Neurons
ANKRD62P1-PARP4P3,
ANKRD63,
ANKRD65,
ANKRD7,Human Neurons
ANKRD9,
ANKS1A,Human Endothelial
ANKS1B,
ANKS3,
ANKS4B,
ANKS6,Human Oligodendrocytes
ANKUB1,
ANKZF1,
ANLN,Human Oligodendrocytes
ANO1,Human Neurons
ANO10,Human mature astrocytes
ANO2,Human Endothelial
ANO3,Human Neurons
ANO4,Human Oligodendrocytes
ANO5,
ANO6,
ANO7,
ANO8,Human mature astrocytes
ANO9,
ANP32A,
ANP32A-IT1,
ANP32AP1,
ANP32B,Human Oligodendrocytes
ANP32C,Human Oligodendrocytes
ANP32D,
ANP32E,Human mature astrocytes
ANPEP,Human Endothelial
ANTXR1,Human mature astrocytes
ANTXR2,
ANTXRL,
ANXA1,Human Endothelial
ANXA10,Human Endothelial
ANXA11,
ANXA13,
ANXA2,Human Endothelial
ANXA2P1,
ANXA2P2,Human Endothelial
ANXA2P3,Human Neurons
ANXA3,Human Endothelial
ANXA4,
ANXA5,Human Microglia/Macrophage
ANXA6,
ANXA7,
ANXA8,
ANXA8,
ANXA8L1,
ANXA8L1,
ANXA8L2,
ANXA9,Human Endothelial
AOAH,Human Microglia/Macrophage
AOC2,
AOC3,Human Endothelial
AOC4,
AOX1,Human Oligodendrocytes
AOX2P,
AP1AR,
AP1B1,Human Microglia/Macrophage
AP1B1P1,
AP1G1,
AP1G2,Human Neurons
AP1M1,
AP1M2,
AP1S1,Human Neurons
AP1S2,Human Neurons
AP1S3,
AP2A1,
AP2A2,
AP2B1,Human Neurons
AP2M1,
AP2S1,Human Neurons
AP3B1,
AP3B2,Human Neurons
AP3D1,Human mature astrocytes
AP3M1,
AP3M2,Human Neurons
AP3S1,
AP3S2,Human mature astrocytes
AP4B1,Human Neurons
AP4E1,
AP4M1,
AP4S1,Human Neurons
AP5B1,Human Microglia/Macrophage
APAF1,Human Microglia/Macrophage
APBA1,Human Neurons
APBA2,Human Neurons
APBA3,
APBB1,
APBB1IP,Human Microglia/Macrophage
APBB2,Human Oligodendrocytes
APBB3,
APC,Human mature astrocytes
APC2,Human mature astrocytes
APCDD1,Human mature astrocytes
APCDD1L,Human Neurons
APCS,
APEH,Human mature astrocytes
APEX1,
APEX2,Human Microglia/Macrophage
APH1A,Human Endothelial
APH1B,
API5,
APIP,Human Oligodendrocytes
APITD1,
APITD1-CORT,Human Neurons
APLF,
APLN,Human mature astrocytes
APLNR,Human mature astrocytes
APLP1,Human Oligodendrocytes
APLP2,Human Neurons
APOA1,Human Endothelial
APOA1BP,
APOA2,
APOA4,
APOA5,
APOB,
APOBEC1,
APOBEC3A,Human Microglia/Macrophage
APOBEC3B,
APOBEC3C,Human Microglia/Macrophage
APOBEC3D,Human Endothelial
APOBEC3F,Human Endothelial
APOBEC3G,Human Microglia/Macrophage
APOBEC3H,
APOBEC4,Human Neurons
APOBR,
APOC1,
APOC1P1,Human mature astrocytes
APOC2,Human Microglia/Macrophage
APOC3,
APOC4,
APOC4-APOC2,
APOD,Human Oligodendrocytes
APOF,Human mature astrocytes
APOH,
APOL1,Human Endothelial
APOL2,
APOL3,Human Endothelial
APOL4,Human Endothelial
APOL5,
APOL6,
APOLD1,Human Endothelial
APOM,Human mature astrocytes
APOM,Human mature astrocytes
APOM,
APOM,
APOM,
APOM,
APOM,Human mature astrocytes
APOO,Human Neurons
APOOL,
APOPT1,Human Neurons
APPBP2,
APPL1,
APPL2,
APRT,
APTX,
AQP1,Human mature astrocytes
AQP10,
AQP11,Human Neurons
AQP12A,
AQP12B,
AQP2,
AQP3,Human Neurons
AQP4,Human mature astrocytes
AQP5,Human mature astrocytes
AQP6,Human mature astrocytes
AQP7,Human Endothelial
AQP7P1,
AQP7P3,Human Endothelial
AQP8,
AQP9,Human Microglia/Macrophage
AQPEP,
AQR,
AR,
ARAF,
ARAP1,
ARAP2,Human Oligodendrocytes
ARAP3,Human Endothelial
ARC,
ARCN1,
AREG,Human Microglia/Macrophage
AREG,Human Microglia/Macrophage
ARF1,
ARF3,
ARF4,Human Microglia/Macrophage
ARF5,Human mature astrocytes
ARF6,Human Microglia/Macrophage
ARFGAP1,Human mature astrocytes
ARFGAP2,Human mature astrocytes
ARFGAP3,Human Microglia/Macrophage
ARFGEF1,
ARFGEF2,Human Neurons
ARFIP1,
ARFIP2,Human Neurons
ARFRP1,
ARG1,Human Microglia/Macrophage
ARG2,Human Neurons
ARGFX,
ARGFXP2,
ARGLU1,
ARHGAP1,
ARHGAP10,Human Endothelial
ARHGAP11A,Human Oligodendrocytes
ARHGAP11B,Human Oligodendrocytes
ARHGAP12,Human Microglia/Macrophage
ARHGAP15,Human Microglia/Macrophage
ARHGAP17,Human Microglia/Macrophage
ARHGAP18,Human Microglia/Macrophage
ARHGAP19,
ARHGAP19-SLIT1,
ARHGAP20,Human Neurons
ARHGAP21,
ARHGAP22,Human Microglia/Macrophage
ARHGAP23,
ARHGAP24,Human Microglia/Macrophage
ARHGAP25,Human Microglia/Macrophage
ARHGAP26,
ARHGAP27,Human Microglia/Macrophage
ARHGAP27,Human Microglia/Macrophage
ARHGAP27,Human Endothelial
ARHGAP27,
ARHGAP28,Human Neurons
ARHGAP29,Human Endothelial
ARHGAP30,Human Microglia/Macrophage
ARHGAP31,
ARHGAP32,
ARHGAP33,
ARHGAP35,
ARHGAP36,Human Neurons
ARHGAP39,
ARHGAP4,Human Microglia/Macrophage
ARHGAP40,
ARHGAP42,
ARHGAP44,Human Neurons
ARHGAP5,Human mature astrocytes
ARHGAP5-AS1,Human mature astrocytes
ARHGAP6,Human Microglia/Macrophage
ARHGAP8,Human Microglia/Macrophage
ARHGAP9,Human Microglia/Macrophage
ARHGDIA,
ARHGDIB,Human Microglia/Macrophage
ARHGDIG,
ARHGEF1,
ARHGEF10,
ARHGEF10L,Human mature astrocytes
ARHGEF11,Human mature astrocytes
ARHGEF12,
ARHGEF15,Human Endothelial
ARHGEF16,
ARHGEF17,
ARHGEF18,
ARHGEF19,Human Endothelial
ARHGEF2,Human Oligodendrocytes
ARHGEF25,
ARHGEF26,Human mature astrocytes
ARHGEF26-AS1,Human mature astrocytes
ARHGEF3,Human Neurons
ARHGEF33,Human Neurons
ARHGEF35,Human Endothelial
ARHGEF37,Human Oligodendrocytes
ARHGEF38,Human Neurons
ARHGEF4,Human mature astrocytes
ARHGEF40,
ARHGEF5,
ARHGEF6,Human Microglia/Macrophage
ARHGEF7,Human Neurons
ARHGEF9,Human Neurons
ARID1A,
ARID1B,Human Neurons
ARID2,
ARID3A,Human Microglia/Macrophage
ARID3B,Human Microglia/Macrophage
ARID3C,
ARID4A,
ARID4B,
ARID5A,Human Microglia/Macrophage
ARID5B,
ARIH1,
ARIH2,
ARL1,Human Neurons
ARL10,
ARL11,Human Microglia/Macrophage
ARL13A,
ARL13B,
ARL14,
ARL15,Human Neurons
ARL16,
ARL17A,
ARL17A,Human Neurons
ARL17A,Human Neurons
ARL17A,Human Neurons
ARL17A,
ARL17B,Human Oligodendrocytes
ARL17B,
ARL2,Human Neurons
ARL2-SNX15,
ARL2BP,
ARL3,
ARL4A,
ARL4C,Human Neurons
ARL4D,Human Neurons
ARL5A,Human Microglia/Macrophage
ARL5B,Human Microglia/Macrophage
ARL5C,
ARL6,Human Neurons
ARL6IP1,Human Neurons
ARL6IP4,Human Endothelial
ARL6IP5,
ARL6IP6,Human mature astrocytes
ARL8A,
ARL8B,Human Neurons
ARL9,Human Neurons
ARMC1,
ARMC10,
ARMC12,Human mature astrocytes
ARMC2,
ARMC3,Human Neurons
ARMC4,Human mature astrocytes
ARMC5,
ARMC6,Human mature astrocytes
ARMC7,
